code_canton;annee;code_departement;impot_moyen;population;agriculteurs_exploitants;artisans_comm_chefs_entr;cadres_prof_intel_sup;professions_intermediaires;employes;ouvriers;retraites;autres_sans_activite_prof;population_15_29;population_30_44;population_45_59;population_60_74;population_75_plus;population_hommes;inscrits;abstentions;blancs_nuls;vote_extreme_gauche;vote_gauche;vote_centre;vote_droite;vote_extreme_droite;pct_population_hommes;pct_agriculteurs_exploitants;pct_artisans_comm_chefs_entr;pct_cadres_prof_intel_sup;pct_professions_intermediaires;pct_employes;pct_ouvriers;pct_retraites;pct_autres_sans_activite_prof;pct_population_15_29;pct_population_30_44;pct_population_45_59;pct_population_60_74;pct_population_75_plus;pct_abstentions;pct_blancs_nuls;exprimes;pct_vote_extreme_gauche;pct_vote_gauche;pct_vote_centre;pct_vote_droite;pct_vote_extreme_droite;parti_gagnant;niveau_richesse
1309;2022;13;3876.48;64839;69;1936;5209;8780;8426;5244;15014;8674;9975;12036;13048;11553;6746;30913;51641;13400;710;360;10735;8184;1985;16267;47.68;0.13;3.63;9.76;16.46;15.79;9.83;28.14;16.26;18.69;22.56;24.45;21.65;12.64;25.95;1.86;37531;0.96;28.60;21.81;5.29;43.34;extreme_droite;3
1310;2007;13;1961.60;63974;87;1200;2936;8706;11026;7052;11171;9702;12714;13304;14187;8243;3401;31650;45069;6763;543;2775;11813;5619;11492;6064;49.47;0.17;2.31;5.66;16.78;21.25;13.59;21.53;18.70;24.52;25.66;27.36;15.90;6.56;15.01;1.42;37763;7.35;31.28;14.88;30.43;16.06;gauche;3
1310;2012;13;2185.67;64524;103;1353;3074;8897;10446;7047;12069;9176;11744;12143;13487;9704;3842;31885;46839;8916;714;690;15451;2250;8520;10298;49.42;0.20;2.59;5.89;17.06;20.02;13.51;23.14;17.59;23.06;23.85;26.49;19.06;7.55;19.04;1.88;37209;1.85;41.52;6.05;22.90;27.68;gauche;3
1310;2017;13;3272.23;64464;68;1295;3151;8664;10129;7017;13315;9065;10896;12143;13582;11348;4811;31314;47956;9420;1030;788;6311;8920;8588;12899;48.58;0.13;2.46;5.98;16.44;19.22;13.31;25.26;17.20;20.64;23.01;25.73;21.50;9.12;19.64;2.67;37506;2.10;16.83;23.78;22.90;34.39;extreme_droite;2
1310;2022;13;3149.33;65768;62;1362;3330;9085;10285;6938;13783;9189;11119;12246;13652;11793;5285;31897;48204;11670;857;492;9956;7635;1794;15800;48.50;0.11;2.52;6.16;16.81;19.03;12.84;25.51;17.01;20.55;22.64;25.24;21.80;9.77;24.21;2.35;35677;1.38;27.91;21.40;5.03;44.29;extreme_droite;2
1311;2007;13;2353.93;76983;135;2318;4427;9423;10769;7587;16083;12538;13244;16132;16494;11508;6031;37175;57789;9826;686;2271;11793;6074;17875;9264;48.29;0.21;3.66;7.00;14.89;17.02;11.99;25.42;19.81;20.89;25.44;26.01;18.15;9.51;17.00;1.43;47277;4.80;24.94;12.85;37.81;19.60;droite;4
1311;2012;13;2839.93;80470;103;2597;4893;10086;11247;7587;18309;11297;12917;16148;16464;13336;7236;38564;59586;10863;955;504;15772;2602;14348;14542;47.92;0.16;3.93;7.40;15.25;17.01;11.47;27.69;17.09;19.54;24.43;24.91;20.18;10.95;18.23;1.96;47768;1.06;33.02;5.45;30.04;30.44;gauche;4
1311;2017;13;4201.41;83099;101;2518;5730;10829;11008;7523;18798;11202;12424;16148;16608;14594;8075;40122;62767;12739;1216;726;8153;9998;10898;19037;48.28;0.15;3.72;8.46;15.99;16.26;11.11;27.76;16.54;18.31;23.80;24.48;21.51;11.90;20.30;2.43;48812;1.49;16.70;20.48;22.33;39.00;extreme_droite;4
1311;2022;13;4673.50;84430;76;2469;6305;10934;11031;7425;19109;11535;12274;16449;16637;15076;8631;40686;64419;16330;922;408;10792;10462;2648;22857;48.19;0.11;3.58;9.15;15.87;16.01;10.78;27.74;16.75;17.77;23.82;24.09;21.83;12.50;25.35;1.92;47167;0.87;22.88;22.18;5.61;48.46;extreme_droite;4
1324;2007;13;1458.90;63215;77;1301;2712;6875;8583;7426;13123;12125;11222;12731;13143;10041;5086;30876;43875;7255;513;2672;13255;4766;9845;5569;48.84;0.15;2.49;5.19;13.16;16.44;14.22;25.13;23.22;21.49;24.38;25.17;19.23;9.74;16.54;1.40;36107;7.40;36.71;13.20;27.27;15.42;gauche;2
1324;2012;13;1896.25;64736;61;1481;2764;6998;8991;7279;14415;11025;10840;11392;13061;10903;6174;31235;44997;8295;628;541;17859;1695;7390;8589;48.25;0.12;2.79;5.21;13.20;16.96;13.73;27.19;20.80;20.70;21.75;24.94;20.82;11.79;18.43;1.71;36074;1.50;49.51;4.70;20.49;23.81;gauche;2
1324;2017;13;2942.20;64704;34;1421;3249;7319;8931;6669;15548;10423;10401;11392;13202;11802;6816;31221;47094;10130;851;620;5516;10760;7010;12207;48.25;0.06;2.65;6.06;13.66;16.66;12.44;29.01;19.45;19.40;21.25;24.62;22.01;12.71;21.51;2.30;36113;1.72;15.27;29.80;19.41;33.80;extreme_droite;2
1324;2022;13;2790.05;64796;48;1559;3230;7289;8871;6678;15251;10570;9930;11421;13057;11857;7244;30980;47905;13641;694;392;12310;6341;1391;13136;47.81;0.09;2.91;6.04;13.63;16.58;12.48;28.51;19.76;18.56;21.34;24.40;22.16;13.54;28.48;2.03;33570;1.17;36.67;18.89;4.14;39.13;extreme_droite;1
1325;2007;13;2491.37;53341;350;1955;4870;6896;6151;4439;10289;7881;8350;11593;11428;7454;4156;26008;41009;5982;384;1604;9026;6609;12764;4640;48.76;0.82;4.56;11.37;16.10;14.36;10.36;24.02;18.40;19.43;26.97;26.59;17.34;9.67;14.59;1.10;34643;4.63;26.05;19.08;36.84;13.39;droite;4
1325;2012;13;3154.19;56098;339;2142;5435;7404;6686;4173;12032;7158;8612;10820;12426;8579;4810;27295;43986;7625;638;440;12715;3286;11968;7314;48.66;0.75;4.72;11.98;16.32;14.74;9.20;26.52;15.78;19.03;23.91;27.46;18.96;10.63;17.34;1.75;35723;1.23;35.59;9.20;33.50;20.47;gauche;5
1325;2017;13;5000.12;58549;273;2191;6098;7789;6896;4061;13045;7775;8441;10820;12946;10200;5685;28526;47194;8338;893;610;7930;8778;10137;10508;48.72;0.57;4.55;12.67;16.18;14.33;8.44;27.10;16.15;17.55;22.50;26.92;21.21;11.82;17.67;2.30;37963;1.61;20.89;23.12;26.70;27.68;extreme_droite;5
1325;2022;13;5365.15;59715;229;2304;6258;7910;7115;3968;13918;7477;8239;10842;13139;11004;6086;28912;49480;11063;790;410;9854;11452;2701;13210;48.42;0.47;4.68;12.72;16.08;14.47;8.07;28.30;15.20;16.71;21.99;26.65;22.32;12.34;22.36;2.06;37627;1.09;26.19;30.44;7.18;35.11;extreme_droite;5
1326;2007;13;2915.43;43805;668;2002;2565;4562;5790;4320;10512;5807;6612;8626;9632;7206;4310;21145;33317;4216;399;1380;6807;4315;11046;5154;48.27;1.84;5.53;7.08;12.59;15.98;11.93;29.02;16.03;18.17;23.71;26.47;19.80;11.85;12.65;1.37;28702;4.81;23.72;15.03;38.49;17.96;droite;5
1326;2012;13;3300.69;46388;720;2323;2726;5203;6012;4733;11418;5444;6591;7921;9997;8445;4840;22450;35879;5656;503;375;9671;2094;9957;7623;48.40;1.87;6.02;7.07;13.49;15.58;12.27;29.60;14.11;17.44;20.96;26.45;22.34;12.81;15.76;1.66;29720;1.26;32.54;7.05;33.50;25.65;droite;5
1326;2017;13;5256.39;46853;513;2255;3209;5696;5881;4004;12427;5412;5992;7921;10195;9647;5575;22518;37854;6475;724;482;5697;7012;7732;9732;48.06;1.30;5.72;8.15;14.46;14.93;10.16;31.54;13.74;15.24;20.14;25.92;24.53;14.17;17.11;2.31;30655;1.57;18.58;22.87;25.22;31.75;extreme_droite;5
1326;2022;13;6841.26;46290;507;2344;3289;5373;5714;3794;12566;5402;5783;7755;9986;9862;5636;22149;39458;8488;655;323;6750;8301;2246;12695;47.85;1.30;6.01;8.44;13.78;14.66;9.73;32.23;13.86;14.82;19.87;25.59;25.27;14.44;21.51;2.11;30315;1.07;22.27;27.38;7.41;41.88;extreme_droite;5
1327;2007;13;1760.03;40550;230;912;1482;4365;5590;5413;7495;7163;7303;8605;8243;5772;2690;19892;27200;3871;358;1413;6970;3307;7096;4185;49.06;0.70;2.79;4.54;13.37;17.12;16.58;22.96;21.94;22.39;26.39;25.28;17.70;8.25;14.23;1.53;22971;6.15;30.34;14.40;30.89;18.22;droite;2
1327;2012;13;2047.37;41455;206;1047;1746;4140;5542;5265;9123;6267;6913;8626;7938;7050;3294;20212;28368;5130;468;351;9028;1410;5470;6511;48.76;0.62;3.14;5.24;12.42;16.62;15.79;27.37;18.80;20.44;25.50;23.47;20.85;9.74;18.08;2.01;22770;1.54;39.65;6.19;24.02;28.59;gauche;2
1327;2017;13;3265.17;44977;143;1009;1959;4688;5934;5716;9442;7109;7271;8626;8570;7595;4021;21760;30579;6557;600;464;4101;5480;5305;8072;48.38;0.40;2.80;5.44;13.02;16.48;15.88;26.23;19.75;20.15;23.91;23.75;21.05;11.14;21.44;2.50;23422;1.98;17.51;23.40;22.65;34.46;extreme_droite;2
1327;2022;13;3326.70;44998;129;1038;2087;4921;5805;5560;9888;6815;6816;8502;8732;7821;4452;21771;31514;8176;455;254;6872;4786;1292;9679;48.38;0.36;2.86;5.76;13.58;16.02;15.34;27.28;18.80;18.76;23.41;24.04;21.53;12.26;25.94;1.95;22883;1.11;30.03;20.92;5.65;42.30;extreme_droite;2
1328;2007;13;4002.99;65766;293;2520;6814;9066;7873;5400;11481;9498;11143;14216;14948;8461;4337;32394;50212;6454;627;1986;12232;8045;15236;5632;49.26;0.55;4.76;12.87;17.12;14.87;10.20;21.68;17.94;20.98;26.77;28.15;15.93;8.17;12.85;1.43;43131;4.60;28.36;18.65;35.32;13.06;droite;5
1328;2012;13;4383.45;69055;340;2995;7310;9398;8191;5188;13854;9115;11266;13919;15386;10293;5455;33777;53304;8757;756;509;16916;3631;13580;9155;48.91;0.60;5.31;12.96;16.67;14.53;9.20;24.57;16.16;20.00;24.71;27.32;18.28;9.69;16.43;1.70;43791;1.16;38.63;8.29;31.01;20.91;gauche;5
1328;2017;13;7698.18;72359;301;3173;8550;9764;8468;5227;15073;8919;11081;13919;15987;12229;6021;35290;56999;9325;1086;713;9993;10919;11951;13012;48.77;0.51;5.34;14.38;16.42;14.24;8.79;25.34;15.00;18.71;23.50;26.99;20.64;10.16;16.36;2.28;46588;1.53;21.45;23.44;25.65;27.93;extreme_droite;5
1328;2022;13;7645.24;73074;271;3265;8872;9814;8303;4946;15700;9005;10609;13606;16099;13217;6545;35383;59498;12731;903;444;12585;13586;3059;16190;48.42;0.45;5.43;14.74;16.31;13.80;8.22;26.09;14.96;17.66;22.65;26.80;22.00;10.89;21.40;1.93;45864;0.97;27.44;29.62;6.67;35.30;extreme_droite;5
1329;2007;13;2567.48;65918;23;1841;4739;8356;9269;6514;10973;10719;12535;13628;14246;8338;3807;31837;45959;7206;436;1752;10309;5885;14129;6242;48.30;0.04;3.51;9.04;15.94;17.68;12.42;20.93;20.44;23.85;25.93;27.11;15.87;7.24;15.68;1.13;38317;4.57;26.90;15.36;36.87;16.29;droite;4
1329;2012;13;3125.57;64330;23;1754;5195;7908;8741;6106;13109;8990;11028;11851;13320;9921;4652;30858;47939;9298;595;436;14006;2689;11468;9447;47.97;0.04;3.38;10.02;15.26;16.87;11.78;25.29;17.35;21.72;23.34;26.23;19.54;9.16;19.40;1.54;38046;1.15;36.81;7.07;30.14;24.83;gauche;4
1329;2017;13;4489.25;64340;8;1868;5823;7868;8411;5363;13452;9309;10181;11851;13608;11036;5406;30615;49670;10075;825;566;6752;9304;9521;12627;47.58;0.02;3.59;11.18;15.10;16.14;10.29;25.82;17.87;19.55;22.75;26.13;21.19;10.38;20.28;2.08;38770;1.46;17.42;24.00;24.56;32.57;extreme_droite;4
1329;2022;13;5209.67;66017;3;1888;6264;8179;8648;5220;13433;9565;10372;12522;13618;10914;5756;31388;50394;12416;736;319;10204;9840;2145;14734;47.55;0.01;3.55;11.77;15.37;16.26;9.81;25.25;17.98;19.50;23.55;25.61;20.52;10.82;24.64;1.94;37242;0.86;27.40;26.42;5.76;39.56;extreme_droite;5
1397;2007;13;3459.20;143404;188;3844;15917;18027;17710;8446;26701;32786;39182;27029;26329;18571;12522;66384;89478;15432;672;2609;21688;14510;27282;7285;46.29;0.15;3.11;12.88;14.58;14.33;6.83;21.60;26.52;31.69;21.86;21.30;15.02;10.13;17.25;0.91;73374;3.56;29.56;19.78;37.18;9.93;droite;5
1397;2012;13;4275.60;141148;206;3851;17451;17453;17583;8269;26776;30126;38784;25358;24934;19461;12902;65878;90437;18645;968;621;29123;6396;24379;10305;46.67;0.17;3.16;14.34;14.34;14.45;6.79;22.00;24.75;31.94;20.88;20.53;16.03;10.62;20.62;1.35;70824;0.88;41.12;9.03;34.42;14.55;gauche;5
1397;2017;13;5764.80;142482;192;4428;19322;17550;17394;7589;27297;29367;37411;25358;25652;21261;13483;67489;94103;20929;1256;1103;13053;19087;18931;19744;47.37;0.16;3.60;15.69;14.25;14.13;6.16;22.17;23.85;30.37;20.59;20.83;17.26;10.95;22.24;1.72;71918;1.53;18.15;26.54;26.32;27.45;extreme_droite;5
1397;2022;13;6589.20;147122;205;4733;20932;18535;17716;7625;27556;29973;38734;26759;26001;21595;14292;69777;94443;23877;1180;553;22913;22892;5224;17804;47.43;0.16;3.72;16.45;14.56;13.92;5.99;21.65;23.55;30.41;21.01;20.41;16.95;11.22;25.28;1.67;69386;0.80;33.02;32.99;7.53;25.66;gauche;5
1398;2007;13;2415.90;852396;275;18837;57773;91421;117742;67620;169657;174284;175000;173819;158051;111002;79820;400034;467405;81576;4052;16911;122419;53820;132200;56427;46.93;0.04;2.70;8.28;13.10;16.88;9.69;24.32;24.98;25.08;24.91;22.65;15.91;11.44;17.45;1.05;381777;4.43;32.07;14.10;34.63;14.78;droite;4
1398;2012;13;2864.40;852516;221;20440;63634;93830;117278;65826;171569;164004;168471;165857;159470;117392;82618;402827;484206;105301;5201;3773;164544;20619;105476;79292;47.25;0.03;2.93;9.13;13.47;16.83;9.45;24.62;23.54;24.28;23.91;22.98;16.92;11.91;21.75;1.37;373704;1.01;44.03;5.52;28.22;21.22;gauche;4
1398;2017;13;4330.00;863310;187;21244;66244;93419;115039;61524;169844;177310;166684;165857;161376;127740;83297;409037;500296;127391;6822;5331;83542;87215;99148;90847;47.38;0.03;3.01;9.40;13.25;16.32;8.73;24.10;25.16;23.64;23.53;22.89;18.12;11.82;25.46;1.83;366083;1.46;22.82;23.82;27.08;24.82;droite;4
1398;2022;13;4736.50;870321;181;22908;70323;96349;114303;60525;167281;181456;168332;167574;161567;131893;83988;412110;520379;166363;5592;3063;133814;84501;15602;111444;47.35;0.03;3.21;9.86;13.51;16.02;8.48;23.45;25.44;23.60;23.49;22.65;18.49;11.77;31.97;1.58;348424;0.88;38.41;24.25;4.48;31.99;gauche;4
1399;2007;13;1938.50;40943;98;908;2402;4808;6320;4195;8255;6666;8258;8472;7775;5519;3635;19822;26170;3826;334;992;5599;3541;8539;3339;48.41;0.29;2.70;7.14;14.29;18.78;12.47;24.53;19.81;24.53;25.17;23.10;16.40;10.80;14.62;1.49;22010;4.51;25.44;16.09;38.80;15.17;droite;3
1399;2012;13;2177.80;43771;92;1034;3220;5056;6384;4270;8943;6741;8413;8912;8326;6012;4243;21298;28870;5527;416;306;7932;1805;7303;5581;48.66;0.26;2.89;9.01;14.15;17.86;11.95;25.02;18.86;23.43;24.82;23.19;16.74;11.82;19.14;1.78;22927;1.33;34.60;7.87;31.85;24.34;gauche;3
